Date,Year,Month,Project_Type,Investment_USD,CO2_Offset_Tonnes,Cost_per_Tonne_CO2_USD,Project_Count,Geographic_Region,Certification_Standard,Project_Status
2022-01-01,2022,1,Reforestation,95298.0,3403.48,32.0,3,Latin America,VCS,Active
2022-01-01,2022,1,Renewable Energy,97093.0,2157.62,37.0,1,Asia Pacific,CAR,Active
2022-01-01,2022,1,Methane Capture,83676.0,2390.76,36.0,3,Europe,VCS,Active
2022-01-01,2022,1,Soil Carbon,81324.0,2541.37,28.0,4,North America,VCS,Active
2022-01-01,2022,1,Direct Air Capture,218224.0,1212.35,185.0,4,Asia Pacific,CAR,Active
2022-02-01,2022,2,Reforestation,107924.0,3854.42,27.0,4,North America,Gold Standard,Completed
2022-02-01,2022,2,Renewable Energy,93221.0,2071.57,39.0,4,Asia Pacific,VCS,Active
2022-02-01,2022,2,Methane Capture,73381.0,2096.6,31.0,1,Europe,Gold Standard,Completed
2022-02-01,2022,2,Soil Carbon,63600.0,1987.5,34.0,3,Middle East & Africa,Gold Standard,Active
2022-02-01,2022,2,Direct Air Capture,179910.0,999.5,174.0,4,Europe,Gold Standard,Active
2022-03-01,2022,3,Reforestation,83715.0,2989.81,28.0,2,Middle East & Africa,Gold Standard,Active
2022-03-01,2022,3,Renewable Energy,112731.0,2505.13,47.0,1,Europe,VCS,Active
2022-03-01,2022,3,Methane Capture,119389.0,3411.12,32.0,1,Asia Pacific,Gold Standard,Active
2022-03-01,2022,3,Soil Carbon,69493.0,2171.66,29.0,4,Europe,VCS,Active
2022-03-01,2022,3,Direct Air Capture,175862.0,977.01,193.0,3,Europe,VCS,Completed
2022-04-01,2022,4,Reforestation,90868.0,3245.3,29.0,4,Asia Pacific,VCS,Active
2022-04-01,2022,4,Renewable Energy,129647.0,2881.05,31.0,2,Europe,VCS,In Development
2022-04-01,2022,4,Methane Capture,86655.0,2475.86,43.0,1,Asia Pacific,VCS,Active
2022-04-01,2022,4,Soil Carbon,52635.0,1644.86,34.0,4,Middle East & Africa,CDM,Active
2022-04-01,2022,4,Direct Air Capture,193996.0,1077.75,191.0,4,North America,Gold Standard,Completed
2022-05-01,2022,5,Reforestation,92168.0,3291.73,28.0,2,Middle East & Africa,Gold Standard,Active
2022-05-01,2022,5,Renewable Energy,146498.0,3255.51,51.0,3,North America,Gold Standard,Active
2022-05-01,2022,5,Methane Capture,123553.0,3530.08,29.0,3,Asia Pacific,VCS,Completed
2022-05-01,2022,5,Soil Carbon,62068.0,1939.62,32.0,2,North America,Gold Standard,Active
2022-05-01,2022,5,Direct Air Capture,135371.0,752.06,171.0,4,Middle East & Africa,Gold Standard,Active
2022-06-01,2022,6,Reforestation,80750.0,2883.91,24.0,4,Europe,Gold Standard,Completed
2022-06-01,2022,6,Renewable Energy,139549.0,3101.08,50.0,2,Latin America,CAR,Completed
2022-06-01,2022,6,Methane Capture,80513.0,2300.38,35.0,3,Latin America,VCS,Active
2022-06-01,2022,6,Soil Carbon,79141.0,2473.14,35.0,3,Asia Pacific,VCS,Active
2022-06-01,2022,6,Direct Air Capture,301439.0,1674.66,181.0,3,Asia Pacific,CAR,Active
2022-07-01,2022,7,Reforestation,93445.0,3337.32,23.0,4,Latin America,VCS,Active
2022-07-01,2022,7,Renewable Energy,116602.0,2591.17,49.0,4,Asia Pacific,CDM,Completed
2022-07-01,2022,7,Methane Capture,137592.0,3931.2,31.0,4,Europe,CAR,Completed
2022-07-01,2022,7,Soil Carbon,72885.0,2277.66,40.0,1,Europe,VCS,Completed
2022-07-01,2022,7,Direct Air Capture,232184.0,1289.91,205.0,4,Europe,CAR,In Development
2022-08-01,2022,8,Reforestation,82289.0,2938.9,29.0,1,Europe,Gold Standard,Completed
2022-08-01,2022,8,Renewable Energy,133611.0,2969.14,43.0,4,Europe,Gold Standard,Active
2022-08-01,2022,8,Methane Capture,115489.0,3299.69,42.0,1,Middle East & Africa,VCS,Active
2022-08-01,2022,8,Soil Carbon,79779.0,2493.09,27.0,3,Middle East & Africa,CAR,Active
2022-08-01,2022,8,Direct Air Capture,371471.0,2063.73,163.0,4,Europe,CDM,Completed
2022-09-01,2022,9,Reforestation,76720.0,2739.99,31.0,3,Asia Pacific,CAR,In Development
2022-09-01,2022,9,Renewable Energy,103914.0,2309.21,46.0,2,North America,Gold Standard,Active
2022-09-01,2022,9,Methane Capture,124873.0,3567.8,36.0,2,Middle East & Africa,Gold Standard,Active
2022-09-01,2022,9,Soil Carbon,91026.0,2844.58,30.0,3,Latin America,Gold Standard,Active
2022-09-01,2022,9,Direct Air Capture,263274.0,1462.63,176.0,4,North America,VCS,Active
2022-10-01,2022,10,Reforestation,82980.0,2963.59,28.0,1,Middle East & Africa,Gold Standard,Completed
2022-10-01,2022,10,Renewable Energy,135060.0,3001.33,49.0,3,Middle East & Africa,Gold Standard,Active
2022-10-01,2022,10,Methane Capture,131845.0,3766.99,34.0,1,North America,CAR,Active
2022-10-01,2022,10,Soil Carbon,71270.0,2227.18,34.0,2,Latin America,Gold Standard,Active
2022-10-01,2022,10,Direct Air Capture,391098.0,2172.76,184.0,4,Latin America,CDM,Completed
2022-11-01,2022,11,Reforestation,75425.0,2693.77,31.0,2,North America,Gold Standard,In Development
2022-11-01,2022,11,Renewable Energy,72924.0,1620.54,48.0,3,Asia Pacific,VCS,Active
2022-11-01,2022,11,Methane Capture,108212.0,3091.77,33.0,3,Europe,VCS,Completed
2022-11-01,2022,11,Soil Carbon,82971.0,2592.85,34.0,2,Middle East & Africa,Gold Standard,Completed
2022-11-01,2022,11,Direct Air Capture,269843.0,1499.13,152.0,4,Europe,Gold Standard,Active
2022-12-01,2022,12,Reforestation,64464.0,2302.29,27.0,4,Latin America,CAR,Completed
2022-12-01,2022,12,Renewable Energy,117231.0,2605.14,41.0,2,North America,CDM,Active
2022-12-01,2022,12,Methane Capture,125920.0,3597.72,31.0,2,Europe,CAR,Active
2022-12-01,2022,12,Soil Carbon,59115.0,1847.34,29.0,2,Latin America,Gold Standard,Active
2022-12-01,2022,12,Direct Air Capture,375381.0,2085.45,192.0,1,Europe,VCS,Completed
2023-01-01,2023,1,Reforestation,63627.0,2272.38,24.0,2,North America,CAR,Active
2023-01-01,2023,1,Renewable Energy,204472.0,4543.83,49.0,4,Latin America,CAR,Completed
2023-01-01,2023,1,Methane Capture,121290.0,3465.43,33.0,2,Europe,Gold Standard,Active
2023-01-01,2023,1,Soil Carbon,87340.0,2729.38,32.0,1,Asia Pacific,Gold Standard,In Development
2023-01-01,2023,1,Direct Air Capture,397452.0,2208.07,163.0,4,Middle East & Africa,CAR,Active
2023-02-01,2023,2,Reforestation,153775.0,5491.96,28.0,1,Asia Pacific,VCS,Active
2023-02-01,2023,2,Renewable Energy,202579.0,4501.75,47.0,1,Europe,CDM,Active
2023-02-01,2023,2,Methane Capture,121270.0,3464.87,40.0,1,Europe,VCS,Completed
2023-02-01,2023,2,Soil Carbon,100823.0,3150.72,34.0,4,Europe,Gold Standard,In Development
2023-02-01,2023,2,Direct Air Capture,249668.0,1387.05,157.0,2,Europe,VCS,Active
2023-03-01,2023,3,Reforestation,98225.0,3508.02,31.0,4,Latin America,Gold Standard,Completed
2023-03-01,2023,3,Renewable Energy,107892.0,2397.61,49.0,1,Middle East & Africa,VCS,Active
2023-03-01,2023,3,Methane Capture,147735.0,4221.0,32.0,3,Latin America,CAR,Completed
2023-03-01,2023,3,Soil Carbon,60915.0,1903.58,28.0,4,Latin America,CAR,Active
2023-03-01,2023,3,Direct Air Capture,324050.0,1800.28,163.0,3,Asia Pacific,Gold Standard,Active
