Date,Year,Month,Quarter,Region,Facility_ID,Facility_Type,Scope1_Emissions_Tonnes,Scope2_Emissions_Tonnes,Scope3_Emissions_Tonnes,Total_Emissions_Tonnes,Carbon_Intensity_Tonnes_per_M_Revenue,Water_Usage_m3,Water_Efficiency_Score,Water_Cost_USD,Total_Energy_Consumption_kWh,Renewable_Energy_kWh,Renewable_Energy_Percentage,Energy_Cost_USD,Total_Waste_Tonnes,Recycled_Waste_Tonnes,Waste_Diversion_Rate_Pct,Waste_Management_Cost_USD,Recycling_Revenue_USD,Employee_Count,Green_Commute_Adoption_Pct,Employee_Commute_Emissions_Tonnes,Employee_Sustainability_Training_Hours,Revenue_Millions_USD,Sustainability_Investment_USD,Sustainability_Cost_Savings_USD,Carbon_Offset_Investment_USD,ESG_Environmental_Score,ESG_Social_Score,ESG_Governance_Score,ESG_Overall_Score,Supply_Chain_Assessment_Pct,High_Risk_Suppliers_Pct,Supply_Chain_Emissions_Tonnes,ISO14001_Certified,LEED_Certification_Level,Regulatory_Compliance_Score
2022-01-01,2022,1,Q1,North America,NA_Plant_001,Plant,50.78,71.09,81.24,203.11,0.42,2821.0,84.3,7924.0,3047.0,1603.0,52.6,399.0,50.78,39.07,76.9,7020.0,1387.0,244,43.1,29.28,545.0,483.75,37032.0,24573.0,11506.0,76.3,77.3,84.1,79.2,72.7,25.0,60.93,1,None,85.3
2022-01-01,2022,1,Q1,North America,NA_Office_002,Office,5.77,8.08,10.0,23.85,0.355,739.0,92.3,2000.0,346.0,157.0,45.3,52.0,7.39,5.49,74.3,901.0,237.0,128,40.6,15.36,248.0,67.19,4872.0,2388.0,1705.0,70.4,73.2,84.4,76.0,67.0,25.0,7.5,1,Certified,93.6
2022-01-01,2022,1,Q1,North America,NA_Warehouse_003,Warehouse,15.15,21.21,24.24,60.59,0.347,373.0,86.0,1022.0,909.0,417.0,45.9,153.0,13.98,10.8,77.2,1741.0,483.0,79,42.6,9.48,222.0,174.69,11849.0,6250.0,3208.0,68.2,78.2,85.7,77.3,61.2,25.0,18.18,0,Silver,91.1
2022-01-01,2022,1,Q1,North America,NA_Plant_004,Plant,52.88,74.03,84.61,211.52,0.437,2938.0,80.8,7942.0,3173.0,1480.0,46.7,517.0,52.88,39.17,74.1,8759.0,1419.0,274,41.2,32.88,770.0,483.75,40705.0,22158.0,13696.0,69.3,77.4,87.7,78.1,69.6,25.0,63.46,1,Certified,91.0
2022-01-01,2022,1,Q1,North America,NA_Office_005,Office,6.78,9.49,10.84,27.11,0.403,867.0,83.5,3354.0,407.0,143.0,35.1,53.0,8.67,6.53,75.3,1506.0,234.0,146,47.9,17.52,419.0,67.19,5325.0,3190.0,2192.0,66.8,73.5,86.8,75.7,71.6,25.0,8.13,1,None,86.8
2022-01-01,2022,1,Q1,North America,NA_Plant_006,Plant,41.3,57.81,66.07,165.18,0.341,2294.0,86.5,7154.0,2478.0,1116.0,45.0,442.0,41.3,31.29,75.8,7340.0,940.0,244,33.7,29.28,572.0,483.75,30525.0,17365.0,9421.0,68.3,74.5,85.8,76.2,79.4,25.0,49.55,0,None,88.5
2022-01-01,2022,1,Q1,North America,NA_Warehouse_007,Warehouse,17.57,24.6,28.12,70.3,0.402,433.0,97.3,1352.0,1054.0,490.0,46.5,167.0,16.22,12.07,74.4,2563.0,431.0,79,35.7,9.48,131.0,174.69,15425.0,7189.0,5512.0,74.6,77.3,86.6,79.5,65.5,25.0,21.09,1,None,88.3
2022-01-01,2022,1,Q1,North America,NA_Office_008,Office,6.38,8.93,10.21,25.52,0.38,817.0,77.2,3176.0,383.0,152.0,39.7,59.0,8.17,6.14,75.2,1240.0,183.0,157,37.6,18.84,260.0,67.19,5550.0,2530.0,2064.0,76.2,72.7,84.4,77.7,74.1,25.0,7.66,1,Certified,84.3
2022-01-01,2022,1,Q1,North America,NA_Plant_009,Plant,42.39,59.35,67.83,169.57,0.351,2355.0,78.4,8498.0,2543.0,1182.0,46.5,339.0,42.39,32.46,76.6,6898.0,965.0,256,47.8,30.72,526.0,483.75,34876.0,16537.0,12694.0,71.2,72.9,88.7,77.6,72.4,25.0,50.87,1,Silver,90.5
2022-01-01,2022,1,Q1,North America,NA_Office_010,Office,7.99,11.19,12.79,31.97,0.476,1023.0,83.8,2897.0,480.0,194.0,40.6,78.0,10.23,7.44,72.7,1400.0,190.0,137,44.4,16.44,356.0,67.19,6896.0,3643.0,1665.0,71.4,75.0,87.9,78.1,68.7,25.0,9.59,1,Gold,96.2
2022-01-01,2022,1,Q1,North America,NA_Plant_011,Plant,47.29,66.21,75.67,189.18,0.391,2627.0,88.6,9115.0,2838.0,1267.0,44.6,357.0,47.29,36.14,76.4,7420.0,1619.0,228,32.9,27.36,396.0,483.75,40492.0,19770.0,12435.0,70.9,71.3,85.3,75.8,71.9,25.0,56.75,1,Silver,91.2
2022-01-01,2022,1,Q1,North America,NA_Warehouse_012,Warehouse,19.31,27.03,30.9,77.24,0.442,475.0,78.1,1492.0,1159.0,551.0,47.6,146.0,17.82,12.87,72.2,2757.0,331.0,84,49.1,10.08,192.0,174.69,16369.0,8844.0,5152.0,85.4,77.9,86.3,83.2,68.4,25.0,23.17,0,Certified,90.3
2022-01-01,2022,1,Q1,Europe,EU_Plant_001,Plant,39.18,54.85,62.69,156.71,0.324,2177.0,90.4,8128.0,2766.0,1095.0,39.6,494.0,39.18,29.46,75.2,5915.0,927.0,232,50.4,27.84,662.0,483.75,32113.0,15289.0,8750.0,70.2,73.0,89.3,77.5,73.2,25.0,47.01,1,None,89.5
2022-01-01,2022,1,Q1,Europe,EU_Office_002,Office,6.21,8.69,10.0,24.89,0.37,794.0,79.0,2466.0,438.0,187.0,42.6,72.0,7.94,5.88,74.0,960.0,161.0,140,59.1,16.8,221.0,67.19,5138.0,2574.0,1161.0,71.6,81.4,87.1,80.0,62.4,25.0,7.5,1,Silver,86.5
2022-01-01,2022,1,Q1,Europe,EU_Warehouse_003,Warehouse,13.47,18.86,21.56,53.89,0.308,332.0,84.7,1113.0,951.0,379.0,39.9,163.0,12.44,8.12,65.3,1984.0,229.0,77,35.0,9.24,125.0,174.69,10559.0,6115.0,3810.0,68.2,75.4,87.9,77.2,62.8,25.0,16.17,0,Certified,88.3
