Date,Year,Month,Region,ESG_Category,Current_Score,Industry_Average,Target_Score,Improvement_Rate_per_Month,Investment_Allocation_USD,Initiatives_Count
2022-01-01,2022,1,North America,Carbon Footprint,73.5,64.3,87.3,0.07,66807.0,5
2022-01-01,2022,1,North America,Water Stewardship,80.2,70.8,91.2,0.28,73253.0,6
2022-01-01,2022,1,North America,Waste Management,77.0,70.9,94.5,0.28,76944.0,4
2022-01-01,2022,1,North America,Supply Chain,66.4,60.5,82.8,0.12,77703.0,10
2022-01-01,2022,1,North America,Employee Wellbeing,94.4,75.8,95.0,0.23,42094.0,5
2022-01-01,2022,1,North America,Community Impact,67.3,63.5,85.8,0.07,47754.0,7
2022-01-01,2022,1,North America,Governance,90.0,78.9,95.0,0.26,32398.0,9
2022-01-01,2022,1,North America,Innovation,76.8,70.1,87.0,0.28,66313.0,5
2022-01-01,2022,1,Europe,Carbon Footprint,74.2,62.5,90.4,0.27,59908.0,3
2022-01-01,2022,1,Europe,Water Stewardship,80.2,66.8,93.6,0.16,67690.0,6
2022-01-01,2022,1,Europe,Waste Management,81.4,72.3,95.0,0.17,64637.0,3
2022-01-01,2022,1,Europe,Supply Chain,74.8,61.8,88.6,0.15,35369.0,7
2022-01-01,2022,1,Europe,Employee Wellbeing,92.7,77.4,95.0,0.14,81209.0,4
2022-01-01,2022,1,Europe,Community Impact,76.6,65.5,85.1,0.17,38416.0,7
2022-01-01,2022,1,Europe,Governance,88.8,78.7,95.0,0.12,32165.0,7
2022-01-01,2022,1,Europe,Innovation,76.9,64.1,92.0,0.07,65601.0,10
2022-01-01,2022,1,Asia Pacific,Carbon Footprint,68.7,65.9,95.0,0.25,65065.0,6
2022-01-01,2022,1,Asia Pacific,Water Stewardship,75.7,74.2,91.5,0.33,60138.0,7
2022-01-01,2022,1,Asia Pacific,Waste Management,75.9,78.0,95.0,0.28,49758.0,9
2022-01-01,2022,1,Asia Pacific,Supply Chain,68.9,59.4,83.5,0.21,27389.0,10
2022-01-01,2022,1,Asia Pacific,Employee Wellbeing,84.3,78.1,95.0,0.21,57348.0,6
2022-01-01,2022,1,Asia Pacific,Community Impact,76.8,65.4,83.2,0.27,60970.0,3
2022-01-01,2022,1,Asia Pacific,Governance,87.7,81.1,95.0,0.21,32555.0,11
2022-01-01,2022,1,Asia Pacific,Innovation,72.7,68.5,89.8,0.13,35756.0,8
2022-01-01,2022,1,Latin America,Carbon Footprint,72.7,61.2,85.3,0.15,39875.0,3
2022-01-01,2022,1,Latin America,Water Stewardship,75.1,72.2,95.0,0.33,28967.0,5
2022-01-01,2022,1,Latin America,Waste Management,84.2,72.3,95.0,-0.05,70010.0,10
2022-01-01,2022,1,Latin America,Supply Chain,69.0,61.6,84.8,0.13,32535.0,6
2022-01-01,2022,1,Latin America,Employee Wellbeing,91.8,79.0,95.0,0.26,83899.0,4
2022-01-01,2022,1,Latin America,Community Impact,75.1,63.6,88.4,0.29,60729.0,7
2022-01-01,2022,1,Latin America,Governance,89.4,79.5,95.0,0.18,36207.0,5
2022-01-01,2022,1,Latin America,Innovation,62.3,68.5,85.1,0.11,33831.0,10
2022-01-01,2022,1,Middle East & Africa,Carbon Footprint,79.6,61.0,93.7,0.34,67290.0,8
2022-01-01,2022,1,Middle East & Africa,Water Stewardship,78.6,66.6,94.5,0.05,50916.0,3
2022-01-01,2022,1,Middle East & Africa,Waste Management,75.4,73.9,94.4,0.24,84797.0,7
2022-01-01,2022,1,Middle East & Africa,Supply Chain,63.5,57.7,82.5,0.1,46921.0,8
2022-01-01,2022,1,Middle East & Africa,Employee Wellbeing,93.3,77.6,95.0,0.15,47086.0,11
2022-01-01,2022,1,Middle East & Africa,Community Impact,73.2,66.7,90.0,0.32,26018.0,9
2022-01-01,2022,1,Middle East & Africa,Governance,89.2,78.1,95.0,0.22,66639.0,7
2022-01-01,2022,1,Middle East & Africa,Innovation,73.5,67.7,92.3,0.25,40217.0,9
2022-02-01,2022,2,North America,Carbon Footprint,68.3,63.4,80.5,0.2,66508.0,3
2022-02-01,2022,2,North America,Water Stewardship,77.1,68.0,95.0,0.21,60138.0,11
2022-02-01,2022,2,North America,Waste Management,82.1,69.3,95.0,0.29,84319.0,7
2022-02-01,2022,2,North America,Supply Chain,72.2,59.3,78.3,0.16,48792.0,11
2022-02-01,2022,2,North America,Employee Wellbeing,90.5,75.1,95.0,0.09,39589.0,8
2022-02-01,2022,2,North America,Community Impact,76.2,63.1,85.7,0.38,26535.0,3
2022-02-01,2022,2,North America,Governance,93.1,80.2,95.0,0.4,77927.0,4
2022-02-01,2022,2,North America,Innovation,78.9,63.1,88.1,0.19,35565.0,7
2022-02-01,2022,2,Europe,Carbon Footprint,78.5,64.1,92.0,0.3,37823.0,3
2022-02-01,2022,2,Europe,Water Stewardship,87.3,70.6,88.9,0.41,59692.0,7
2022-02-01,2022,2,Europe,Waste Management,86.9,70.7,87.9,0.28,58578.0,5
2022-02-01,2022,2,Europe,Supply Chain,80.9,57.7,85.2,0.12,56261.0,10
2022-02-01,2022,2,Europe,Employee Wellbeing,90.1,79.4,95.0,0.12,50121.0,8
2022-02-01,2022,2,Europe,Community Impact,79.3,63.4,83.5,0.09,83795.0,6
2022-02-01,2022,2,Europe,Governance,97.4,83.0,95.0,0.16,44390.0,10
2022-02-01,2022,2,Europe,Innovation,73.8,68.9,94.0,0.12,58004.0,9
2022-02-01,2022,2,Asia Pacific,Carbon Footprint,70.9,63.0,90.1,0.05,31881.0,5
2022-02-01,2022,2,Asia Pacific,Water Stewardship,70.0,71.7,94.0,0.28,77217.0,6
2022-02-01,2022,2,Asia Pacific,Waste Management,77.5,71.1,93.1,0.0,65867.0,9
2022-02-01,2022,2,Asia Pacific,Supply Chain,76.9,59.3,81.0,0.03,67623.0,9
2022-02-01,2022,2,Asia Pacific,Employee Wellbeing,88.4,75.2,95.0,0.15,61589.0,9
2022-02-01,2022,2,Asia Pacific,Community Impact,64.0,64.7,82.2,0.08,44963.0,4
2022-02-01,2022,2,Asia Pacific,Governance,84.2,80.3,95.0,0.2,77144.0,3
2022-02-01,2022,2,Asia Pacific,Innovation,73.5,64.5,90.2,0.34,79018.0,4
2022-02-01,2022,2,Latin America,Carbon Footprint,72.5,65.0,88.2,0.29,82616.0,10
